Lucifer,79,21,43,92,GP017464_Trim7 002.png,448,448
Lucifer,78,22,43,95,GP017464_Trim7 004.png,448,448
Lucifer,79,18,45,104,GP017464_Trim7 006.png,448,448
Lucifer,78,18,46,110,GP017464_Trim7 008.png,448,448
Lucifer,70,14,54,123,GP017464_Trim7 010.png,448,448
Lucifer,66,15,60,121,GP017464_Trim7 012.png,448,448
Lucifer,72,12,60,139,GP017464_Trim7 014.png,448,448
Lucifer,73,13,63,138,GP017464_Trim7 016.png,448,448
Lucifer,68,10,69,169,GP017464_Trim7 018.png,448,448
Lucifer,57,2,77,175,GP017464_Trim7 020.png,448,448
Lucifer,53,7,85,173,GP017464_Trim7 022.png,448,448
Lucifer,48,0,99,217,GP017464_Trim7 024.png,448,448
Lucifer,50,0,112,217,GP017464_Trim7 026.png,448,448
Lucifer,48,0,130,231,GP017464_Trim7 028.png,448,448
Lucifer,45,0,156,249,GP017464_Trim7 030.png,448,448
Lucifer,35,0,182,248,GP017464_Trim7 032.png,448,448
Lucifer,21,0,203,249,GP017464_Trim7 034.png,448,448
Lucifer,20,0,229,324,GP017464_Trim7 036.png,448,448
Lucifer,13,0,264,331,GP017464_Trim7 038.png,448,448
Lucifer,14,0,274,331,GP017464_Trim7 040.png,448,448
Lucifer,10,0,293,335,GP017464_Trim7 042.png,448,448
Lucifer,2,0,317,347,GP017464_Trim7 044.png,448,448
Lucifer,12,0,346,371,GP017464_Trim7 046.png,448,448
Lucifer,31,0,360,427,GP017464_Trim7 048.png,448,448
Lucifer,26,0,379,448,GP017464_Trim7 050.png,448,448
Lucifer,80,21,43,92,GP017464_Trim7 001.png,448,448
Lucifer,79,21,43,92,GP017464_Trim7 003.png,448,448
Lucifer,80,23,37,100,GP017464_Trim7 005.png,448,448
Lucifer,81,20,45,103,GP017464_Trim7 007.png,448,448
Lucifer,73,17,52,118,GP017464_Trim7 009.png,448,448
Lucifer,67,14,59,122,GP017464_Trim7 011.png,448,448
Lucifer,68,14,62,135,GP017464_Trim7 013.png,448,448
Lucifer,74,14,60,137,GP017464_Trim7 015.png,448,448
Lucifer,71,13,65,153,GP017464_Trim7 017.png,448,448
Lucifer,61,3,76,176,GP017464_Trim7 019.png,448,448
Lucifer,54,7,82,172,GP017464_Trim7 021.png,448,448
Lucifer,49,4,93,204,GP017464_Trim7 023.png,448,448
Lucifer,48,3,104,215,GP017464_Trim7 025.png,448,448
Lucifer,49,0,121,218,GP017464_Trim7 027.png,448,448
Lucifer,46,0,142,248,GP017464_Trim7 029.png,448,448
Lucifer,44,0,168,249,GP017464_Trim7 031.png,448,448
Lucifer,28,0,191,247,GP017464_Trim7 033.png,448,448
Lucifer,17,0,218,249,GP017464_Trim7 035.png,448,448
Lucifer,15,0,248,329,GP017464_Trim7 037.png,448,448
Lucifer,15,1,269,328,GP017464_Trim7 039.png,448,448
Lucifer,12,0,284,331,GP017464_Trim7 041.png,448,448
Lucifer,7,0,299,339,GP017464_Trim7 043.png,448,448
Lucifer,4,0,333,356,GP017464_Trim7 045.png,448,448
Lucifer,23,0,348,391,GP017464_Trim7 047.png,448,448
Lucifer,24,0,376,448,GP017464_Trim7 049.png,448,448
